county,year,violent crime,violent crime rate per 1000 persons,property crime,property crime rate per 1000 persons,unemployment rate,high school graduate rate,per capita personal income,population,population per 1000,land area,population density,percent of population below poverty level,full-time law enforcement employees,full-time law enforcement employees rate,income inequality,% Males 15-24 years,% Males 25-39 years
Alameda County,2012,11899,7.70978,62130,40.2561934,0.09,0.80,52670,"1,543,365","1,543",739.02,2088.39,12,"1,599",1.04,16.25,6.914363661,11.32778727
Alameda County,2013,11739,7.49059,60133,38.3705119,0.07,0.81,54653,"1,567,167","1,567",739.02,2120.6,12.5,"1,599",1.02,16.67,6.816146968,11.22947954
Alameda County,2014,10356,6.51905,57620,36.2714784,0.06,0.83,57951,"1,588,576","1,589",739.02,2149.57,12.9,"1,506",0.95,17.01,6.712157252,11.21959132
Alameda County,2015,9679,6.0052,60009,37.231739,0.05,0.85,62664,"1,611,770","1,612",739.02,2180.96,12.5,"1,560",0.97,17.09,6.566484688,11.36883916
Alameda County,2016,10127,6.21388,59744,36.6586531,0.04,0.86,66377,"1,629,738","1,630",739.02,2205.27,12,"1,564",0.96,17.15,6.371406483,11.51754249
Alameda County,2017,9923,6.02707,63861,38.7881475,0.04,0.86,70370,"1,646,405","1,646",739.02,2227.82,11.3,"1,567",0.95,16.74,6.200851121,11.71387107
Amador County,2012,130,3.45276,797,21.1680965,0.12,0.89,35944,"37,651",38,594.58,63.32,10.5,85,2.26,12.46,6.20111217,9.138481093
Amador County,2013,100,2.68068,798,21.3918078,0.10,0.84,36838,"37,304",37,594.58,62.74,12.6,86,2.31,13.12,6.056416012,8.706098017
Amador County,2014,81,2.14201,629,16.633611,0.08,0.88,38617,"37,815",38,594.58,63.6,13,93,2.46,13.93,5.910438925,7.898495654
Amador County,2015,84,2.22428,602,15.9406858,0.07,0.89,40392,"37,765",38,594.58,63.52,12.8,100,2.65,14.04,5.896223814,8.655007433
Amador County,2016,92,2.44246,669,17.7609048,0.06,0.88,40934,"37,667",38,594.58,63.35,11.2,86,2.28,12.4,5.635622109,8.372924276
Amador County,2017,115,2.9962,649,16.9089677,0.05,0.87,41769,"38,382",38,594.58,64.55,10.6,85,2.21,11.98,5.795314427,8.261405672
Butte County,2012,684,3.09362,5659,25.5947535,0.12,0.85,34633,"221,100",221,"1,636.46",135.11,20.6,297,1.34,13.6,9.851494995,8.910899996
Butte County,2013,634,2.85348,6223,28.0081914,0.10,0.85,35442,"222,185",222,"1,636.46",135.77,20.4,299,1.35,14.11,9.803846886,9.011616835
Butte County,2014,678,3.03849,6631,29.7171693,0.09,0.86,36796,"223,137",223,"1,636.46",136.35,21.5,296,1.33,15.15,9.856237984,8.915190136
Butte County,2015,778,3.4688,7543,33.6313173,0.07,0.86,39483,"224,285",224,"1,636.46",137.05,21.9,288,1.28,15.81,9.647753006,8.955093816
Butte County,2016,790,3.52,7307,32.5577458,0.07,0.87,40878,"224,432",224,"1,636.46",137.14,21.3,269,1.2,16.67,9.61226209,9.017689178
Butte County,2017,921,4.06797,7280,32.1550509,0.06,0.84,41465,"226,403",226,"1,636.46",138.35,20.5,263,1.16,17.08,9.421998428,9.033911024
Calaveras County,2012,101,2.21998,1149,25.2549675,0.13,0.91,37472,"45,496",45,"1,020.01",44.6,10.4,91,2,12.59,5.880209638,5.578660426
Calaveras County,2013,130,2.86192,1080,23.7759775,0.10,0.89,37844,"45,424",45,"1,020.01",44.53,10.9,97,2.14,12.73,5.859977407,6.110403792
Calaveras County,2014,113,2.49129,989,21.8043124,0.08,0.90,39996,"45,358",45,"1,020.01",44.47,12.1,92,2.03,13.24,5.697902985,6.39156074
Calaveras County,2015,129,2.84976,808,17.8496476,0.06,0.94,42685,"45,267",45,"1,020.01",44.38,12.6,92,2.03,14.2,5.737681775,6.677474479
Calaveras County,2016,178,3.93405,656,14.4985192,0.06,0.94,43874,"45,246",45,"1,020.01",44.36,12.7,101,2.23,13.9,5.491138053,6.332123161
Calaveras County,2017,208,4.60432,790,17.4875484,0.05,0.91,45449,"45,175",45,"1,020.01",44.29,12.8,106,2.35,14,5.422020996,6.476241206
Colusa County,2012,46,2.12776,555,25.6718627,0.21,0.82,36965,"21,619",22,"1,150.73",18.79,15.2,63,2.91,10.02,8.007618735,9.092521919
Colusa County,2013,43,1.98175,535,24.6566504,0.19,0.82,39178,"21,698",22,"1,150.73",18.86,12.5,67,3.09,9.81,7.974613873,9.528110081
