state,year,violent crime,violent_murder,violent_rape,violent_robbery,violent_assault,property crime,property_buglary,property_larceny,property_auto theft,unemployment,population,Land Area,population density,poverty rate,employee rate,per capita income,% Males 15-24 years,% Males 25-39 years
Alabama,2006,425.2,8.3,35.9,153.5,227.6,3936.1,969.1,2644.3,322.7,4,4599030,135767,33.87443193,14.3,0.000338115,31474,7.240125025,9.170825032
Alaska,2006,688,5.4,76,90.3,516.4,3604.9,617.3,2610.2,377.4,6.6,670053,1723337,0.388811358,8.9,0.000879035,41157,7.806414731,10.70150894
Arizona,2006,501.4,7.5,31.5,149.6,312.7,4627.9,925.3,2813.1,889.5,4.2,6166318,295234,20.88620552,14.4,0.000323207,34703,7.337797351,10.08323173
Arkansas,2006,551.6,7.3,46.5,98.4,399.4,3967.5,1139.9,2562.1,265.5,5.2,2810872,137732,20.40827114,17.7,1.71E-05,29617,7.027597516,9.516538303
California,2006,532.5,6.8,25.3,194.7,305.7,3170.9,676,1829.1,665.7,4.9,36457549,423967,85.99147811,12.2,0.000300185,41746,7.821757134,10.76114357
Colorado,2006,391.6,3.3,43.7,80.7,264,3451.3,682.1,2331.8,437.5,4.3,4753377,269601,17.63115493,9.7,0.000220054,40137,7.15068409,11.07852465
Connecticut,2006,280.8,3.1,18.1,121,138.6,2504.1,419.3,1788.4,296.4,4.3,3504809,14357,244.1184788,8,0.000505306,53696,6.828646025,8.814280685
Delaware,2006,681.6,4.9,46.9,203.3,426.5,3417.9,725.2,2362.8,329.9,3.6,853476,6446,132.4039715,9.3,0.001823133,41053,7.381601838,9.227002297
district of Columbia,2006,1508.4,29.1,31.8,658.4,789.1,4653.8,659.5,2735.4,1258.9,6.3,581530,177,3285.480226,18.3,0.000412499,55805,7.816458792,13.23147542
Florida,2006,712,6.2,35.8,188.8,481.2,3986.1,944.6,2619,422.5,3.2,18089888,170312,106.216168,11.5,0.000300997,38386,6.781734139,9.172417396
Georgia,2006,471,6.4,23.2,165.6,275.8,3889.2,909,2519.3,460.9,4.7,9363941,153910,60.84036775,12.6,0.000216469,34791,7.477245347,10.13363514
Hawaii,2006,281.2,1.6,27.6,88.9,163,4230.4,677.5,2949.1,603.9,2.6,1285498,28313,45.40310105,9.2,0.000421092,38480,7.234498327,10.19863306
Idaho,2006,247.2,2.5,40,20.5,184.2,2418.8,513.2,1740,165.6,3.5,1466465,216443,6.775294188,9.5,0.000287767,31476,7.318995358,9.624980196
